district_name,area_km2,park_area_sum,station_count,bus_stop_count,hospital_count,school_count,mart_count,convenience_count,laundry_count,academy_count,park_count,station_density,bus_stop_density,hospital_density,school_density,mart_density,convenience_density,laundry_density,academy_density,park_density,park_area_ratio,academy_official_count,academy_official_density
강남구,39.488793091476836,0.0,37.0,548,3164.0,80.0,376,789,331,6170,0.0,0.9369746984742866,13.877354993619164,80.12399853980115,2.0258912399444036,9.521688827738696,19.98035235395168,8.38212500526997,156.24686188071212,0.0,0.0,3429,86.83476327211699
강동구,24.557023198082195,1486469.6,14.0,440,968.0,62.0,352,342,203,1946,36.0,0.570101672628356,17.917481139748332,39.41845850744633,2.5247359787827195,14.333984911798666,13.92676943134984,8.266474253111163,79.24413249534149,1.4659757296157727,0.060531343233657386,1414,57.580268935463955
강북구,23.638413597109874,0.0,11.0,413,475.0,34.0,290,264,126,749,0.0,0.4653442564921067,17.471561630112735,20.094411075795517,1.4383367927937845,12.26816676206463,11.168262155810561,5.330306938000495,31.68571346478072,0.0,0.0,377,15.94861679068402
강서구,41.456739584963024,0.0,21.0,608,982.0,80.0,431,527,287,2227,0.0,0.5065521362808042,14.665890421844235,23.687342753702367,1.929722423926873,10.396379558906029,12.712046467618277,6.922879195837657,53.71864797606433,0.0,0.0,1388,33.48068405513125
관악구,29.57870806746809,203996.0,11.0,479,718.0,55.0,357,401,348,1531,21.0,0.37188912967088866,16.194081192032332,24.27421773669982,1.8594456483544433,12.069492662955204,13.557049181638758,11.765219738679022,51.76020522964823,0.7099701566444238,0.006896717717849327,732,24.74753117446277
광진구,17.04902894735776,30991.9,11.0,298,602.0,42.0,276,366,199,1374,23.0,0.6451980364374224,17.479001350759262,35.30992890321166,2.463483411851976,16.188605277884417,21.46749830328151,11.672219022822459,80.59110018772894,1.3490504398237013,0.0018178102750422683,728,42.70037913876759
구로구,20.097921810059262,0.0,13.0,504,625.0,54.0,427,331,154,1281,0.0,0.6468330468622551,25.077219662967426,31.097742637608416,2.686844963889367,21.24597777001407,16.46936450087742,7.662483785906714,63.73793331004221,0.0,0.0,792,39.40705947037738
금천구,13.02107853534634,79696.9,4.0,353,373.0,33.0,276,290,131,841,18.0,0.3071942150676542,27.109889479720486,28.645860555058757,2.5343522743081475,21.196400839668144,22.27158059240493,10.060610543465677,64.5875837179743,1.382373967804444,0.006120606659706333,363,27.877875017389623
노원구,35.5891810808243,6543565.0,18.0,510,766.0,93.0,323,313,151,1882,3.0,0.5057716826673072,14.330197675573705,21.523394940175407,2.6131536937810873,9.075791861196679,8.794807593048176,4.242862449042411,52.88123926554846,0.0842952804445512,0.1838638822607166,1420,39.89976607708757
도봉구,20.70558534177558,1591879.0,7.0,363,386.0,45.0,280,238,116,886,49.0,0.3380730312355286,17.531501476928128,18.642312865273436,2.1733266293712554,13.522921249421145,11.494483062007975,5.602353089045903,42.79038652495405,2.3665112186487005,0.07688162269859744,600,28.97768839161674
