admin_code,admin_name,district_name,legal_dong,match_type,text,source
11560560,당산2동,영등포구,당산동,legal_exact,직장인들이 많아요,survey
11560560,당산2동,영등포구,당산동,legal_exact,"평지, 한강가깝고 2호선9호선 이용이 편리함",survey
11620765,미성동,관악구,미성동,admin_exact,전체적으로 노후한 느낌이 들고 주변에 학원가나 학교가 많아요,survey
11470620,신정1동,양천구,신정동,legal_exact,나무가 많고 조용한 평지 동네라 살기 좋습니다.,survey
11470640,신정3동,양천구,신정동,legal_exact,나무가 많고 조용한 평지 동네라 살기 좋습니다.,survey
11470680,신정7동,양천구,신정동,legal_exact,나무가 많고 조용한 평지 동네라 살기 좋습니다.,survey
11470670,신정6동,양천구,신정동,legal_exact,나무가 많고 조용한 평지 동네라 살기 좋습니다.,survey
11470650,신정4동,양천구,신정동,legal_exact,나무가 많고 조용한 평지 동네라 살기 좋습니다.,survey
11470630,신정2동,양천구,신정동,legal_exact,나무가 많고 조용한 평지 동네라 살기 좋습니다.,survey
11410615,연희동,서대문구,연희동,legal_exact,"동네에 맛있는 음식점은 많지만, 전체적으로 특정 구역에 가면 하수도 냄새가 나는 곳이 있습니다.",survey
11680660,개포1동,강남구,개포동,legal_exact,아파트와 자동차가많다. 교통이 불편하다.,survey
11680690,개포4동,강남구,개포동,legal_exact,아파트와 자동차가많다. 교통이 불편하다.,survey
11680670,개포2동,강남구,개포동,legal_exact,아파트와 자동차가많다. 교통이 불편하다.,survey
11680740,일원2동,강남구,개포동,legal_exact,아파트와 자동차가많다. 교통이 불편하다.,survey
11260655,망우본동,중랑구,망우동,legal_exact,편의시설이 많고 교통이 잘되어있다,survey
11260660,망우3동,중랑구,망우동,legal_exact,편의시설이 많고 교통이 잘되어있다,survey
11530530,구로2동,구로구,구로동,legal_exact,중국간판 밖에 안보임,survey
11530520,구로1동,구로구,구로동,legal_exact,중국간판 밖에 안보임,survey
11530540,구로3동,구로구,구로동,legal_exact,중국간판 밖에 안보임,survey
11530550,구로4동,구로구,구로동,legal_exact,중국간판 밖에 안보임,survey
11530560,구로5동,구로구,구로동,legal_exact,중국간판 밖에 안보임,survey
11620715,난향동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11620775,난곡동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11620695,신림동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11620685,신사동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11620665,서림동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11620655,신원동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
11620645,서원동,관악구,신림동,legal_exact,생각보다 살기 좋지만 외국인 은근 많은 동네,survey
