district_name,name,category,course,address
동대문구,대성회계실무학원,종합(대),,서울특별시 동대문구 왕산로 225
동대문구,국제전자과학학원,직업기술,전자,서울특별시 동대문구 고산자로36길 3
동대문구,조이앤플레이음악학원,기예(대),실용음악(성악),서울특별시 동대문구 이문로 38
동대문구,한독자동차정비학원,직업기술,자동차,서울특별시 동대문구 왕산로 31
중랑구,예맥보습학원,입시.검정 및 보습,보습,서울특별시 중랑구 동일로151길 30
중랑구,금파음악학원,예능(대),음악,서울특별시 중랑구 동일로101길 52
동대문구,청담+수학학원,입시.검정 및 보습,보습,서울특별시 동대문구 한천로 124
동대문구,더하이스트수학학원,입시.검정 및 보습,보습·논술,서울특별시 동대문구 사가정로 190
동대문구,미래사관학원,입시.검정 및 보습,보습,서울특별시 동대문구 천호대로16길 12
중랑구,필립학원,입시.검정 및 보습,보습,서울특별시 중랑구 동일로129길 54
동대문구,주미음악학원,예능(대),음악,서울특별시 동대문구 장한로30길 31
동대문구,새암음악학원,예능(대),음악,서울특별시 동대문구 답십리로72길 118
중랑구,클라라음악학원,예능(대),음악,서울특별시 중랑구 겸재로3길 22
동대문구,예술의악당음악학원,예능(대),음악,서울특별시 동대문구 이문로1길 16-3
동대문구,이엘음악학원,예능(대),음악,서울특별시 동대문구 천호대로77길 89
동대문구,맨하탄학원,입시.검정 및 보습,보습,서울특별시 동대문구 황물로 42
동대문구,한영보습학원,입시.검정 및 보습,보습,서울특별시 동대문구 답십리로23길 59
동대문구,수학엠플러스학원,입시.검정 및 보습,보습,서울특별시 동대문구 한천로 165
중랑구,대정보습학원,입시.검정 및 보습,보습,서울특별시 중랑구 용마산로 389
동대문구,대우건축토목학원,직업기술,건축,서울특별시 동대문구 하정로 36
동대문구,진주컴퓨터학원,기타(대),컴퓨터(소),서울특별시 동대문구 홍릉로15길 43
동대문구,SDA삼육외국어학원,종합(대),,서울특별시 동대문구 망우로18길 33
동대문구,교원더퍼스트캠퍼스학원,입시.검정 및 보습,보습,서울특별시 동대문구 이문로 65
중랑구,정주피아노학원,예능(대),음악,서울특별시 중랑구 동일로140길 16
동대문구,미시간캠퍼스어학원,국제화,실용외국어(유아/초·중·고),서울특별시 동대문구 휘경로 39
중랑구,조숭지음악학원,예능(대),음악,서울특별시 중랑구 동일로129길 22
중랑구,새한음악학원,예능(대),음악,서울특별시 중랑구 면목로27길 6
중랑구,으뜸학원,입시.검정 및 보습,보습·논술,서울특별시 중랑구 용마산로 436
동대문구,수재학원,입시.검정 및 보습,보습,서울특별시 동대문구 답십리로 133
중랑구,줄리어드음악학원,예능(대),음악,서울특별시 중랑구 용마산로116길 22
중랑구,미래엔수학삼성영어셀레나서림학원,종합(대),,서울특별시 중랑구 면목로57길 35
동대문구,수정음악학원,예능(대),음악,서울특별시 동대문구 답십리로66길 99
중랑구,하브엘음악학원,예능(대),음악,서울특별시 중랑구 봉화산로56길 153
