name,address,latitude,longitude
강북삼성병원,"서울특별시 종로구 새문안로 29, (평동)",37.5684083,126.96775
건국대학교병원,"서울특별시 광진구 능동로 120-1, (화양동)",37.5403764,127.0718276
경희대학교병원,"서울특별시 동대문구 경희대로 23, (회기동)",37.5941195,127.051852
고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",37.492052,126.8848701
삼성서울병원,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",37.4882977,127.0851508
서울대학교병원,"서울특별시 종로구 대학로 101, (연건동)",37.5797151,126.9990168
연세대학교의과대학 강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",37.4929296,127.0462683
연세대학교의과대학세브란스병원,"서울특별시 서대문구 연세로 50-1, (신촌동)",37.5623446,126.9408265
이화여자대학교의과대학부속목동병원,"서울특별시 양천구 안양천로 1071, (목동)",37.536602,126.8862043
재단법인아산사회복지재단 서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",37.5265762,127.107935
중앙대학교병원,"서울특별시 동작구 흑석로 102, (흑석동)",37.5067481,126.9607839
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",37.5870165,127.0263537
학교법인가톨릭학원가톨릭대학교서울성모병원,"서울특별시 서초구 반포대로 222, (반포동)",37.5009444,127.0051154
한양대학교병원,"서울특별시 성동구 왕십리로 222-1, (사근동)",37.5596569,127.0441339
가톨릭대학교 여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",37.5183253,126.9367517
가톨릭대학교 은평성모병원,"서울특별시 은평구 통일로 1021, (진관동)",37.6334945,126.9161912
강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",37.4856196,127.0396045
강동경희대학교병원,"서울특별시 강동구 동남로 892, (상일동)",37.553536,127.1576732
경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",37.4963836,127.1235089
구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",37.4996715,126.8664159
국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",37.5672137,127.0056709
기쁨병원,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",37.4827157,127.0180814
노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",37.6364793,127.0699354
녹색병원,"서울특별시 중랑구 사가정로49길 53, (면목동)",37.5835731,127.0860738
대림성모병원,"서울특별시 영등포구 시흥대로 657, (대림동, 대림성모병원)",37.4906979,126.9072208
명지성모병원,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",37.4938623,126.8992626
미즈메디병원,"서울특별시 강서구 강서로 295, (내발산동)",37.5522178,126.8359357
부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",37.556866,126.8509273
삼육서울병원,"서울특별시 동대문구 망우로 82, (휘경동)",37.5879909,127.0653065
서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",37.5843076,127.0497296
서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",37.5671805,126.9669974
서울특별시 동부병원,"서울특별시 동대문구 무학로 124, (용두동)",37.5753681,127.0313409
서울특별시보라매병원,"서울특별시 동작구 보라매로5길 20, (신대방동)",37.4934414,126.9239058
서울특별시서남병원,"서울특별시 양천구 신정이펜1로 20, (신정동)",37.5120195,126.8331531
서울특별시서울의료원,"서울특별시 중랑구 신내로 156, (신내동)",37.6132762,127.0978309
서울현대병원,"서울특별시 강북구 도봉로 374, (번동, 서울현대병원)",37.6402555,127.0285199
성심의료재단강동성심병원,"서울특별시 강동구 성안로 150, (길동)",37.5359971,127.135378
성애의료재단 성애병원,"서울특별시 영등포구 여의대방로53길 22, (신길동, 성애병원)",37.5120274,126.9225003
세란병원,"서울특별시 종로구 통일로 256, (무악동)",37.5751835,126.9574606
순천향대학교 부속 서울병원,"서울특별시 용산구 대사관로 59, (한남동)",37.533804,127.0042579
씨엠병원,"서울특별시 영등포구 영등포로36길 13, (영등포동4가, 충무병원)",37.5188597,126.9041862
우리들병원,"서울특별시 강서구 하늘길 70, (과해동)",37.5620454,126.7963265
의료법인 청구성심병원,"서울특별시 은평구 통일로 873, (갈현동)",37.6208615,126.9197006
의료법인동신의료재단 동신병원,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",37.5813323,126.9364251
의료법인서울효천의료재단 에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",37.4841536,126.9325692
의료법인성화의료재단  대한병원,"서울특별시 강북구 도봉로 301, (수유동, 대한병원)",37.6354747,127.0226914
의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",37.6007085,127.1090094
의료법인한전의료재단 한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",37.6461401,127.0291228
이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",37.5572394,126.8362575
인제대학교 상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",37.6485408,127.0629909
재단법인베스티안재단베스티안서울병원,"서울특별시 성동구 왕십리로 382, (하왕십리동)",37.5651103,127.0280199
차의과학대학교 강남차병원,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",37.5067005,127.0345427
한국보훈복지의료공단 중앙보훈병원,"서울특별시 강동구 진황도로61길 53, (둔촌동)",37.5303393,127.1478691
한국원자력의학원원자력병원,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",37.6288667,127.0824198
한림대학교 강남성심병원,"서울특별시 영등포구 신길로 1, (대림동, 강남성심병원)",37.4937262,126.9086527
한림대학교 한강성심병원,"서울특별시 영등포구 버드나루로7길 12, (영등포동7가, 한강성심병원)",37.5231702,126.9096811
혜민병원,"서울특별시 광진구 자양로 85, (자양동)",37.5354079,127.0836246
홍익병원,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",37.5284838,126.8636551
희명병원,"서울특별시 금천구 시흥대로 244, (시흥동)",37.4556869,126.9005836
(의)가산의료재단 광동병원,"서울특별시 강남구 봉은사로 612, (삼성동)",37.5142863,127.0621662
123스텝업병원,"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",37.537382,127.1234953
365엠씨(mc)병원,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",37.4929843,127.0141365
9988병원,"서울특별시 성동구 왕십리로 269, (행당동)",37.5585817,127.0375193
가자연세병원,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",37.5689576,126.9165989
