district_name,legal_dong,admin_code,admin_name
중구,남대문로4가,11140520,소공동
중구,남산동2가,11140550,명동
중구,남산동3가,11140550,명동
서대문구,남가좌동,11410700,남가좌2동
영등포구,영등포동,11560535,영등포동
강북구,수유동,11305615,수유1동
성동구,금호동1가,11200590,금호1가동
성동구,금호동2가,11200615,금호2·3가동
성동구,금호동3가,11200615,금호2·3가동
성동구,금호동4가,11200620,금호4가동
성동구,옥수동,11200645,옥수동
성동구,성수동1가,11200650,성수1가1동
성동구,성수동1가,11200660,성수1가2동
성동구,성수동2가,11200690,성수2가3동
성동구,성수동2가,11200670,성수2가1동
성동구,송정동,11200720,송정동
중구,봉래동1가,11140520,소공동
중구,봉래동2가,11140540,회현동
용산구,원효로1가,11170560,원효로1동
용산구,원효로2가,11170560,원효로1동
용산구,신창동,11170570,원효로2동
중구,회현동1가,11140540,회현동
중구,회현동1가,11140550,명동
종로구,가회동,11110600,가회동
종로구,재동,11110600,가회동
종로구,계동,11110600,가회동
종로구,원서동,11110600,가회동
종로구,훈정동,11110615,종로1·2·3·4가동
용산구,청암동,11170570,원효로2동
용산구,원효로3가,11170570,원효로2동
성북구,길음동,11290660,길음1동
종로구,숭인동,11110710,숭인2동
종로구,교남동,11110580,교남동
종로구,평동,11110580,교남동
종로구,송월동,11110580,교남동
종로구,홍파동,11110580,교남동
종로구,교북동,11110580,교남동
종로구,행촌동,11110580,교남동
종로구,구기동,11110560,평창동
서대문구,홍제동,11410640,홍제3동
강동구,암사동,11740570,암사1동
용산구,이촌동,11170640,이촌2동
용산구,이태원동,11170650,이태원1동
종로구,창신동,11110690,창신3동
종로구,창신동,11110670,창신1동
종로구,창신동,11110680,창신2동
동대문구,휘경동,11230730,휘경2동
도봉구,도봉동,11320522,도봉2동
도봉구,도봉동,11320521,도봉1동
서대문구,신촌동,11410585,신촌동
서대문구,봉원동,11410585,신촌동
서대문구,창천동,11410585,신촌동
동대문구,전농동,11230560,전농1동
서대문구,홍은동,11410660,홍은1동
성북구,안암동2가,11290600,안암동
성북구,안암동3가,11290600,안암동
노원구,월계동,11350570,월계2동
노원구,월계동,11350580,월계3동
노원구,월계동,11350560,월계1동
강동구,천호동,11740610,천호2동
광진구,광장동,11215810,광장동
광진구,자양동,11215847,자양4동
광진구,자양동,11215840,자양3동
강서구,화곡동,11500540,화곡1동
서초구,반포동,11650581,반포4동
서초구,서초동,11650530,서초3동
서초구,서초동,11650531,서초4동
서초구,서초동,11650510,서초1동
서초구,서초동,11650520,서초2동
강서구,개화동,11500640,방화2동
강서구,과해동,11500620,공항동
강서구,오곡동,11500620,공항동
강서구,오쇠동,11500620,공항동
구로구,신도림동,11530510,신도림동
구로구,구로동,11530530,구로2동
구로구,구로동,11530520,구로1동
구로구,구로동,11530540,구로3동
은평구,갈현동,11380552,갈현2동
마포구,합정동,11440680,합정동
마포구,망원동,11440690,망원1동
마포구,망원동,11440700,망원2동
마포구,연남동,11440710,연남동
마포구,당인동,11440655,서강동
마포구,서교동,11440660,서교동
마포구,동교동,11440660,서교동
종로구,중학동,11110615,종로1·2·3·4가동
종로구,종로1가,11110615,종로1·2·3·4가동
종로구,공평동,11110615,종로1·2·3·4가동
종로구,관훈동,11110615,종로1·2·3·4가동
영등포구,영등포동,11560515,영등포본동
중랑구,면목동,11260565,면목본동
중랑구,면목동,11260575,면목3·8동
강북구,미아동,11305535,미아동
서초구,잠원동,11650580,반포3동
서초구,잠원동,11650540,잠원동
서초구,반포동,11650570,반포2동
서초구,반포동,11650560,반포1동
종로구,내자동,11110530,사직동
종로구,사직동,11110530,사직동
종로구,관수동,11110615,종로1·2·3·4가동
중랑구,면목동,11260540,면목4동
중랑구,면목동,11260550,면목5동
중랑구,면목동,11260520,면목2동
성동구,상왕십리동,11200535,왕십리도선동
성동구,하왕십리동,11200520,왕십리2동
성동구,하왕십리동,11200535,왕십리도선동
성동구,홍익동,11200535,왕십리도선동
중구,충무로5가,11140570,필동
중구,충무로1가,11140550,명동
중구,충무로1가,11140540,회현동
광진구,군자동,11215730,군자동
동대문구,신설동,11230536,용신동
동대문구,용두동,11230536,용신동
동대문구,제기동,11230545,제기동
광진구,자양동,11215820,자양1동
광진구,화양동,11215710,화양동
중구,회현동2가,11140540,회현동
송파구,가락동,11710632,가락2동
서대문구,남가좌동,11410690,남가좌1동
종로구,청운동,11110515,청운효자동
종로구,신교동,11110515,청운효자동
종로구,궁정동,11110515,청운효자동
종로구,효자동,11110515,청운효자동
종로구,창성동,11110515,청운효자동
종로구,통의동,11110530,사직동
종로구,적선동,11110530,사직동
종로구,통인동,11110515,청운효자동
종로구,누상동,11110515,청운효자동
마포구,노고산동,11440660,서교동
마포구,신수동,11440630,신수동
마포구,신수동,11440600,대흥동
마포구,현석동,11440630,신수동
마포구,구수동,11440630,신수동
마포구,창전동,11440655,서강동
마포구,상수동,11440655,서강동
마포구,하중동,11440655,서강동
종로구,누하동,11110515,청운효자동
종로구,옥인동,11110515,청운효자동
종로구,체부동,11110530,사직동
종로구,필운동,11110530,사직동
송파구,문정동,11710646,장지동
영등포구,양평동1가,11560610,양평1동
영등포구,양평동2가,11560610,양평1동
영등포구,양평동3가,11560610,양평1동
중구,명동1가,11140550,명동
중구,명동2가,11140550,명동
중구,남산동1가,11140550,명동
영등포구,양평동6가,11560620,양평2동
용산구,원효로4가,11170570,원효로2동
용산구,효창동,11170580,효창동
용산구,도원동,11170590,용문동
용산구,용문동,11170590,용문동
용산구,문배동,11170560,원효로1동
용산구,신계동,11170560,원효로1동
용산구,한강로1가,11170625,한강로동
용산구,한강로2가,11170625,한강로동
용산구,용산동3가,11170625,한강로동
송파구,문정동,11710642,문정2동
송파구,장지동,11710647,위례동
송파구,장지동,11710646,장지동
송파구,신천동,11710710,잠실6동
송파구,신천동,11710690,잠실4동
송파구,풍납동,11710520,풍납2동
성북구,보문동6가,11290610,보문동
송파구,문정동,11710641,문정1동
양천구,목동,11470550,목5동
양천구,목동,11470530,목3동
양천구,신월동,11470580,신월3동
양천구,신월동,11470590,신월4동
양천구,신월동,11470600,신월5동
영등포구,양평동3가,11560620,양평2동
양천구,목동,11470510,목1동
강남구,도곡동,11680656,도곡2동
강남구,도곡동,11680655,도곡1동
송파구,잠실동,11710650,잠실본동
양천구,목동,11470520,목2동
양천구,신정동,11470620,신정1동
강남구,일원동,11680720,일원본동
서대문구,영천동,11410520,천연동
서대문구,현저동,11410520,천연동
서대문구,북아현동,11410555,북아현동
서대문구,북아현동,11410565,충현동
서대문구,홍제동,11410655,홍제2동
서대문구,홍제동,11410620,홍제1동
성북구,돈암동,11290555,삼선동
성북구,돈암동,11290620,정릉1동
성동구,송정동,11200790,용답동
성동구,용답동,11200790,용답동
광진구,중곡동,11215750,중곡2동
광진구,중곡동,11215770,중곡4동
광진구,중곡동,11215760,중곡3동
광진구,중곡동,11215740,중곡1동
광진구,능동,11215780,능동
광진구,구의동,11215850,구의1동
영등포구,양평동4가,11560620,양평2동
영등포구,양평동5가,11560620,양평2동
마포구,아현동,11440565,공덕동
마포구,아현동,11440555,아현동
마포구,공덕동,11440610,염리동
종로구,효제동,11110630,종로5·6가동
강서구,등촌동,11500520,등촌1동
강서구,가양동,11500603,가양1동
양천구,신월동,11470610,신월6동
양천구,신월동,11470611,신월7동
양천구,신월동,11470570,신월2동
중구,을지로6가,11140590,광희동
중구,을지로7가,11140590,광희동
성북구,돈암동,11290590,돈암2동
성북구,돈암동,11290580,돈암1동
성북구,돈암동,11290630,정릉2동
성북구,돈암동,11290575,동선동
성북구,동소문동1가,11290525,성북동
성북구,동소문동2가,11290555,삼선동
성북구,동소문동3가,11290555,삼선동
성북구,동소문동4가,11290525,성북동
영등포구,신길동,11560690,신길7동
영등포구,신길동,11560680,신길6동
영등포구,대림동,11560710,대림2동
영등포구,대림동,11560700,대림1동
영등포구,대림동,11560670,신길5동
영등포구,대림동,11560720,대림3동
영등포구,양평동,11560620,양평2동
동작구,노량진동,11590510,노량진1동
동작구,노량진동,11590520,노량진2동
동작구,상도동,11590530,상도1동
서대문구,북가좌동,11410710,북가좌1동
은평구,구산동,11380560,구산동
성북구,보문동7가,11290610,보문동
성북구,보문동1가,11290610,보문동
성북구,보문동2가,11290610,보문동
영등포구,신길동,11560630,신길1동
마포구,신정동,11440655,서강동
종로구,평창동,11110560,평창동
송파구,장지동,11710642,문정2동
송파구,방이동,11710566,오륜동
송파구,방이동,11710561,방이1동
송파구,방이동,11710562,방이2동
송파구,풍납동,11710510,풍납1동
용산구,청파동2가,11170555,청파동
용산구,청파동3가,11170555,청파동
영등포구,영등포동1가,11560535,영등포동
영등포구,영등포동2가,11560535,영등포동
영등포구,영등포동3가,11560535,영등포동
송파구,오금동,11710570,오금동
송파구,거여동,11710532,거여2동
송파구,거여동,11710647,위례동
강서구,가양동,11500510,염창동
강서구,마곡동,11500630,방화1동
종로구,소격동,11110540,삼청동
종로구,화동,11110540,삼청동
마포구,공덕동,11440565,공덕동
마포구,공덕동,11440555,아현동
마포구,신공덕동,11440565,공덕동
동대문구,이문동,11230740,이문1동
동대문구,이문동,11230750,이문2동
종로구,장사동,11110615,종로1·2·3·4가동
노원구,공릉동,11350600,공릉2동
노원구,공릉동,11350595,공릉1동
노원구,하계동,11350611,하계1동
노원구,하계동,11350612,하계2동
노원구,상계동,11350695,상계6·7동
마포구,대흥동,11440590,용강동
마포구,염리동,11440590,용강동
강동구,천호동,11740620,천호3동
강동구,강일동,11740515,강일동
마포구,도화동,11440590,용강동
마포구,대흥동,11440600,대흥동
영등포구,신길동,11560650,신길3동
영등포구,신길동,11560660,신길4동
영등포구,신길동,11560515,영등포본동
영등포구,신길동,11560670,신길5동
종로구,동숭동,11110640,이화동
영등포구,양화동,11560620,양평2동
강동구,성내동,11740660,성내3동
강동구,천호동,11740600,천호1동
종로구,무악동,11110570,무악동
중구,무교동,11140550,명동
중구,다동,11140550,명동
중구,태평로1가,11140550,명동
중구,을지로1가,11140550,명동
중구,을지로2가,11140550,명동
중구,남대문로1가,11140550,명동
중구,삼각동,11140550,명동
중구,수하동,11140550,명동
중구,장교동,11140550,명동
중구,수표동,11140550,명동
중구,소공동,11140520,소공동
종로구,부암동,11110550,부암동
종로구,종로3가,11110615,종로1·2·3·4가동
용산구,산천동,11170570,원효로2동
중구,남대문로3가,11140540,회현동
중구,남대문로5가,11140540,회현동
중구,봉래동1가,11140540,회현동
강남구,청담동,11680565,청담동
강남구,삼성동,11680590,삼성2동
강남구,삼성동,11680580,삼성1동
강남구,대치동,11680610,대치2동
강남구,대치동,11680600,대치1동
강남구,대치동,11680630,대치4동
강남구,신사동,11680545,압구정동
강남구,신사동,11680510,신사동
강남구,논현동,11680531,논현2동
강남구,논현동,11680521,논현1동
강남구,압구정동,11680545,압구정동
중구,충무로3가,11140570,필동
중구,초동,11140605,을지로동
중구,인현동1가,11140605,을지로동
중구,저동2가,11140605,을지로동
중구,신당동,11140645,청구동
중구,신당동,11140665,동화동
중구,신당동,11140650,신당5동
중구,신당동,11140635,약수동
중구,신당동,11140625,다산동
중구,신당동,11140615,신당동
중구,흥인동,11140615,신당동
중구,무학동,11140615,신당동
중구,황학동,11140670,황학동
중구,서소문동,11140520,소공동
은평구,응암동,11380600,응암3동
은평구,역촌동,11380625,역촌동
성북구,길음동,11290620,정릉1동
마포구,도화동,11440585,도화동
강북구,미아동,11305575,삼각산동
