name,park_type,address,latitude,longitude,park_area,district_name
초안산<시공원>,근린공원,서울특별시 노원구 마들로5길 91,37.64354845,127.0514587,950643.0,노원구
영축산<시공원>,근린공원,서울특별시 노원구 광운로 141(월계동),37.62834719,127.057541,260500.0,노원구
불암산<시공원>,기타,서울특별시 노원구 한글비석로12길 51-49,37.65484418,127.0811812,5332422.0,노원구
칸나,소공원,서울특별시 동작구 시흥대로596,37.48562691,126.9043083,241.0,동작구
국화원,소공원,"서울특별시 동작구 상도로30길 39(상도동, 상도두산위브아파트)",37.50479617,126.942298,757.0,동작구
새벽,어린이공원,서울특별시 동작구 상도로13길11,37.50092249,126.930155,496.0,동작구
까치산,근린공원,서울특별시 동작구 현충로55,37.51066813,126.9627656,384026.0,동작구
까치,어린이공원,서울특별시 동작구 동작대로9길35(사당),37.48053895,126.979537,1604.3,동작구
사육신,역사공원,서울특별시 동작구 노량진로191,37.51345628,126.9494127,47832.0,동작구
현충,근린공원,서울특별시 동작구 사당로23길57-7,37.48538566,126.9757312,1106402.2,동작구
용봉정,근린공원,서울특별시 동작구 현충로2가길17,37.511663,126.958792,80804.2,동작구
상도,근린공원,서울특별시 동작구 성대로6사길27-18,37.49321807,126.9384079,359342.8,동작구
신창,어린이공원,서울특별시 도봉구 덕릉로57길,37.64005013,127.0408422,579.0,도봉구
달내,어린이공원,서울특별시 도봉구 덕릉로59길,37.642803,127.0352563,1001.0,도봉구
장미,어린이공원,서울특별시 도봉구 도봉로114길,37.638146,127.036365,1000.0,도봉구
다람쥐,어린이공원,서울특별시 도봉구 덕릉로59길,37.64520352,127.0349066,988.0,도봉구
창고개,어린이공원,서울특별시 도봉구 덕릉로59길,37.64476713,127.039341,990.0,도봉구
창골,어린이공원,서울특별시 도봉구 덕릉로63길,37.643075,127.048626,4236.0,도봉구
뱃골,어린이공원,서울특별시 도봉구 해등로4길 38,37.64881821,127.0455437,2319.0,도봉구
밤골,어린이공원,서울특별시 도봉구 해등로4길 38,37.64881821,127.0455437,2279.0,도봉구
반석,어린이공원,서울특별시 도봉구 덕릉로63길,37.64716834,127.0412891,2596.0,도봉구
은행나무,어린이공원,서울특별시 도봉구 해등로 50,37.64999808,127.0433017,3199.0,도봉구
꿈동산,어린이공원,서울특별시 도봉구 초안산로 116,37.65028686,127.036861,1008.0,도봉구
뒷말,어린이공원,서울특별시 도봉구 도당로13길 3,37.66496533,127.0356152,1000.0,도봉구
서울창포원,기타,서울특별시 도봉구 마들로 916,37.6895,127.0471623,51146.0,도봉구
다락원체육공원,체육공원,서울특별시 도봉구 창포원로 45,37.69154967,127.0470117,49830.0,도봉구
학골,소공원,서울특별시 도봉구 도봉로 236,37.66179652,127.0367282,149.0,도봉구
방학,소공원,서울특별시 도봉구 시루봉로15길 41,37.66309614,127.0322564,305.0,도봉구
무수골,소공원,서울특별시 도봉구 도봉로169길,37.67872504,127.0395213,854.0,도봉구
무수울,소공원,서울특별시 도봉구 도봉로169길 266-14,37.67823258,127.0361831,161.0,도봉구
창3마을공원,소공원,서울특별시 도봉구 우이천로4길 24-11,37.63310961,127.0411969,331400.0,도봉구
