name,line,address,latitude,longitude,district_name
신사,신분당선,서울특별시 강남구 강남대로 620-2,37.5161252633129,127.019760916726,강남구
논현,신분당선,서울특별시 강남구 강남대로 492-2,37.5111153846379,127.021365807131,강남구
신논현,신분당선,서울특별시 강남구 강남대로 302-2,37.504555429592,127.024530640799,강남구
강남,신분당선,서울특별시 강남구 강남대로 지하 396,37.4973854397871,127.02787893753,강남구
양재(서초구청),신분당선,서울시 서초구 남부순환로 지하 2585,37.4844535239588,127.034099452522,
양재시민의숲(매헌),신분당선,서울특별시 서초구 매헌로 지하 116,37.4709638768813,127.038420263319,서초구
청계산입구,신분당선,서울특별시 서초구 청계산로 지하 179,37.4487148450701,127.054339616958,서초구
판교,신분당선,경기도 성남시 분당구 판교역로 지하 160,37.3957147534829,127.111210738619,
정자,신분당선,경기도 성남시 분당구 성남대로 지하 333,37.3682101915529,127.108385905864,
미금,신분당선,경기도 성남시 성남대로 지하 163 (금곡동),37.3511833209472,127.108902778591,
동천,신분당선,경기도 용인시 수지구 신수로 지하760,37.3386841329961,127.102793673668,
수지구청,신분당선,경기도 용인시 수지구 풍덕천로 지하120,37.3230089609191,127.095581285703,
성복,신분당선,경기도 용인시 수지구 수지로 지하134,37.3140425091456,127.080757826931,
광교(경기대),신분당선,경기도 수원시 영통구 대학로 55 신분당선 광교역,37.3017347422146,127.044856131638,
서울,인천국제공항선,서울특별시 용산구 청파로 378,37.55301784,126.9697643,용산구
공덕,인천국제공항선,서울특별시 마포구 마포대로 92,37.5427105,126.9516296,마포구
홍대입구,인천국제공항선,서울특별시 마포구 양화로 188,37.55774103,126.9264939,마포구
디지털미디어시티,인천국제공항선,서울특별시 마포구 성암로 184,37.577355,126.898025,마포구
마곡나루,인천국제공항선,서울특별시 강서구 마곡중앙로 지하 135,37.56581914,126.8276358,강서구
김포공항,인천국제공항선,서울특별시 강서구 하늘길 77,37.56211652,126.8015442,강서구
계양,인천국제공항선,인천광역시 계양구 다남로 24,37.571769,126.736319,
동구릉,8호선,인창동 679-8 일원(구리도매시장),37.610556,127.135056,
구리(구리전통시장),8호선,인창동 675-1 일원(구리역공원),37.60256,127.14073,
장자호수공원,8호선,수택동 870-3 일원(장자2사거리),37.587222,127.13793,
걸포북변역,김포도시철도,경기도 김포시 김포대로 지하 1040,37.631639,126.70575,
사우역,김포도시철도,경기도 김포시 김포대로 지하 852,37.620361,126.719722,
풍무역,김포도시철도,경기도 김포시 김포대로 지하 710,37.612333,126.732583,
고촌역,김포도시철도,경기도 김포시 고촌읍 김포대로 지하 350,37.60125,126.770361,
김포공항역,김포도시철도,서울특별시 강서구 하늘길 지하 77,37.562309,126.801833,강서구
샛강,수도권 경량도시철도 신림선,서울특별시 영등포구 의사당대로 지하166 (여의도동),37.517219937,126.929403964,영등포구
대방,수도권 경량도시철도 신림선,서울특별시 영등포구 여의대방로 300 (신길동),37.512840166,126.925316781,영등포구
서울지방병무청,수도권 경량도시철도 신림선,서울특별시 동작구 여의대방로 지하218 (대방동),37.50604687,126.922783404,동작구
보라매,수도권 경량도시철도 신림선,서울특별시 동작구 상도로 지하2 (대방동),37.500312709,126.920485864,동작구
보라매공원,수도권 경량도시철도 신림선,서울특별시 동작구 여의대방로20길 지하11 (신대방동),37.495225405,126.918258811,동작구
